id,agent_id,provider,transaction_type,amount,timestamp,area,account_ref,is_anomaly,anomaly_type
edb6d1fd-bbda-4907-bd5b-080091836eaa,b63dcc85-73d6-4313-83f3-e838d97947b1,nagad,cash_in,11037.11,2026-04-25T10:10:37,Rajshahi,ACC10851,False,
b9189810-6a4c-4af5-a18b-3bee6825c11d,10a131ee-52c9-4d4b-bbde-0f731290f9e4,rocket,cash_out,3971.44,2026-02-23T22:58:27,Dhaka-South,ACC54118,False,
f5bbc532-2757-4bb9-8f27-1860fe20d3a1,edbeadd3-be59-4797-927c-af6f1743a05e,bkash,cash_out,21202.61,2026-03-11T16:57:54,Chittagong,ACC89131,False,
8bc6dbba-21dd-4678-8432-3be9fc61dc58,3e9c3d6b-f33f-4bc6-b757-c574eca9618e,bkash,cash_out,3208.17,2026-04-15T03:00:14,Dhaka-North,ACC59615,False,
a3aa43f9-383b-4fce-bc38-0698ea4f4649,edbeadd3-be59-4797-927c-af6f1743a05e,rocket,cash_in,24221.46,2026-05-03T01:40:25,Chittagong,ACC57400,False,
2a31bfc4-2a10-4266-957d-bbe090b38c06,47158c9d-96e3-45b4-9582-d5efdf3fb660,bkash,cash_out,21535.09,2026-01-09T21:33:25,Rajshahi,ACC47930,False,
ab361190-adea-44b9-9d4e-852a78967ea0,edbeadd3-be59-4797-927c-af6f1743a05e,bkash,transfer,18537.6,2026-03-15T19:30:59,Chittagong,ACC93320,False,
7cace783-d111-4164-bcfa-c2b9b7408932,ee804021-2598-4018-a5b1-60af17b62bd7,bkash,cash_out,16787.36,2026-02-10T16:22:24,Dhaka-North,ACC99593,False,
a1c8d024-ab4e-42df-8756-6d795e8a9e20,edbeadd3-be59-4797-927c-af6f1743a05e,rocket,cash_out,45638.14,2026-04-14T17:16:20,Chittagong,ACC31417,False,
71d1b722-6bd6-482f-ab9d-a0c85c60b9f5,09738250-bac5-4fa3-b4f9-026715cfb638,nagad,cash_in,19271.99,2026-06-29T16:38:07,Dhaka-South,ACC83000,False,
dbd1819c-de8f-4ecf-9547-7ae269adf17e,522a74ea-ac50-4e50-be1d-cb2790f06579,rocket,cash_in,30322.24,2026-05-30T04:36:02,Dhaka-North,ACC40021,False,
b50297b0-8e9c-4ef7-a575-c58a411d7720,cf623685-bcd0-424f-b2ad-dad395a6a56f,nagad,cash_out,5353.47,2026-01-13T20:27:40,Dhaka-North,ACC84341,False,
91ca81c2-d999-491d-9272-2c958a2d9c93,ee804021-2598-4018-a5b1-60af17b62bd7,bkash,cash_out,22128.61,2026-03-18T19:46:41,Dhaka-North,ACC94259,False,
c265f98f-97ac-4026-92b3-61c6785edbb5,09738250-bac5-4fa3-b4f9-026715cfb638,bkash,cash_in,22400.67,2026-02-17T21:22:02,Dhaka-South,ACC80644,False,
de4006d8-284b-4619-b9aa-d0a97f44fa32,3e9c3d6b-f33f-4bc6-b757-c574eca9618e,rocket,cash_out,14629.97,2026-06-24T08:09:28,Dhaka-North,ACC57447,False,
6a058f74-377d-4567-b660-37ed199b1309,522a74ea-ac50-4e50-be1d-cb2790f06579,bkash,cash_out,24594.67,2026-01-18T15:40:06,Dhaka-North,ACC24371,False,
a273950b-1469-4a06-9d4f-bf248e123118,10a131ee-52c9-4d4b-bbde-0f731290f9e4,rocket,cash_in,12780.37,2026-05-13T03:16:20,Dhaka-South,ACC18326,False,
aca15b05-3765-4faa-9ee6-099bebbce3a8,4a3feed6-8d43-4a9e-9d76-1be4bfe739b1,nagad,cash_out,13274.95,2026-04-01T21:16:14,Dhaka-North,ACC82512,False,
e1ee4f5c-6c56-4602-b2dd-88881c444846,cf623685-bcd0-424f-b2ad-dad395a6a56f,rocket,cash_out,22131.23,2026-05-13T09:00:02,Dhaka-North,ACC44973,False,
7fdfa088-a6d2-4cbd-b6ac-60f47805f64f,ee804021-2598-4018-a5b1-60af17b62bd7,bkash,cash_in,17837.26,2026-01-31T17:04:06,Dhaka-North,ACC44522,False,
63d97138-0b51-4aae-bbcf-3efe0588f766,b63dcc85-73d6-4313-83f3-e838d97947b1,bkash,cash_out,21775.91,2026-01-21T15:54:37,Rajshahi,ACC49117,False,
835b32f0-dbff-470b-b9c1-ee6d645f6f65,b63dcc85-73d6-4313-83f3-e838d97947b1,rocket,cash_in,29799.67,2026-03-14T14:33:53,Rajshahi,ACC80697,False,
86cd0ef6-2062-4c1e-a734-1c67f77a178e,b63dcc85-73d6-4313-83f3-e838d97947b1,bkash,cash_out,760.46,2026-04-05T21:04:03,Rajshahi,ACC57576,False,
dcf7dd6e-61a6-4969-94a6-9ddd18922161,3e9c3d6b-f33f-4bc6-b757-c574eca9618e,bkash,cash_in,22239.41,2026-06-20T11:49:16,Dhaka-North,ACC20322,False,
0f43a03b-a49a-41d6-9afe-7b8fdd488cbd,edbeadd3-be59-4797-927c-af6f1743a05e,rocket,cash_out,24451.81,2026-01-14T10:33:13,Chittagong,ACC79822,False,
b509a566-d133-4d7b-bc22-ac6530d7cb48,10a131ee-52c9-4d4b-bbde-0f731290f9e4,bkash,cash_out,5475.16,2026-04-17T18:16:13,Dhaka-South,ACC79163,False,
bbade1f0-cb6e-472a-b651-34a0a11617b9,47158c9d-96e3-45b4-9582-d5efdf3fb660,nagad,recharge,1522.77,2026-04-15T17:18:06,Rajshahi,ACC36365,False,
3094e072-6d29-48f8-9860-1334e969d139,3e9c3d6b-f33f-4bc6-b757-c574eca9618e,nagad,recharge,778.17,2026-05-07T04:39:04,Dhaka-North,ACC77839,False,
5121db38-b10d-49c3-96bf-91dcde51f883,09738250-bac5-4fa3-b4f9-026715cfb638,bkash,cash_in,10274.95,2026-01-13T10:22:56,Dhaka-South,ACC87110,False,
9d903c74-aa6c-41d6-a744-0b6f28c1fad1,b63dcc85-73d6-4313-83f3-e838d97947b1,bkash,cash_out,2428.05,2026-01-02T09:30:42,Rajshahi,ACC92719,False,
fb1fae35-a024-4fde-a4da-3b595b9fd740,cf623685-bcd0-424f-b2ad-dad395a6a56f,bkash,cash_in,25817.13,2026-01-07T02:23:41,Dhaka-North,ACC19287,False,
906528a6-ec9c-41c4-a728-16f15dcf4130,b63dcc85-73d6-4313-83f3-e838d97947b1,bkash,cash_in,8559.53,2026-04-05T06:11:43,Rajshahi,ACC27342,False,
939a18b5-15bb-4d01-81fb-c795571ff77a,47158c9d-96e3-45b4-9582-d5efdf3fb660,rocket,cash_out,11877.03,2026-06-02T08:35:29,Rajshahi,ACC63354,False,
efbe349b-d298-4922-85df-358e3ed9cf71,522a74ea-ac50-4e50-be1d-cb2790f06579,bkash,cash_in,10758.07,2026-03-25T16:50:38,Dhaka-North,ACC63883,False,
8e8c0e77-32c6-4da7-be4e-109aa0916b6f,09738250-bac5-4fa3-b4f9-026715cfb638,rocket,cash_in,29528.12,2026-05-07T21:19:23,Dhaka-South,ACC22899,False,
5b83a5cb-e19e-485c-91dd-0bd4b06a8a49,cf623685-bcd0-424f-b2ad-dad395a6a56f,nagad,cash_out,28022.34,2026-06-05T11:01:53,Dhaka-North,ACC42591,False,
38c22031-a5b2-478b-9d44-5219023ce6d7,522a74ea-ac50-4e50-be1d-cb2790f06579,bkash,cash_out,10604.85,2026-01-28T05:17:48,Dhaka-North,ACC46509,False,
bba992b1-bbdd-484a-89ef-3a2c3e0bae3b,09738250-bac5-4fa3-b4f9-026715cfb638,bkash,transfer,22434.97,2026-01-15T15:19:08,Dhaka-South,ACC82132,False,
73da13b5-f58b-4f61-aea9-6d1f10e6336f,edbeadd3-be59-4797-927c-af6f1743a05e,bkash,cash_out,20917.09,2026-04-15T23:19:20,Chittagong,ACC22224,False,
6ea373b8-4535-43a7-a4fe-9e3263d587dc,522a74ea-ac50-4e50-be1d-cb2790f06579,bkash,cash_out,7049.0,2026-04-04T11:17:34,Dhaka-North,ACC62565,False,
92bacc1d-aa9b-40a2-bb85-5ae0574eaa30,cf623685-bcd0-424f-b2ad-dad395a6a56f,bkash,cash_out,6703.56,2026-03-17T19:29:50,Dhaka-North,ACC69638,False,
f6523cb4-ea67-4aa9-bca6-9704f7cac8ea,3e9c3d6b-f33f-4bc6-b757-c574eca9618e,nagad,cash_out,32351.83,2026-05-22T20:24:05,Dhaka-North,ACC82845,False,
1646d836-4414-4815-9e8d-fb26348f4d55,09738250-bac5-4fa3-b4f9-026715cfb638,bkash,cash_in,29067.54,2026-02-12T06:33:34,Dhaka-South,ACC85914,False,
48c8a929-7f08-4499-8aea-1aedde28576e,b63dcc85-73d6-4313-83f3-e838d97947b1,bkash,cash_out,1348.54,2026-01-12T02:24:34,Rajshahi,ACC72493,False,
75fbbe8a-3d82-468e-9a6d-fa15be0554aa,b63dcc85-73d6-4313-83f3-e838d97947b1,rocket,cash_in,2587.32,2026-04-09T14:39:08,Rajshahi,ACC34356,False,
529f1e81-a7f9-4830-8f38-5c647f9084b3,edbeadd3-be59-4797-927c-af6f1743a05e,rocket,cash_in,7209.08,2026-06-17T08:22:06,Chittagong,ACC25713,False,
57c50aa5-fe88-4f3e-8fa0-501bb4c5e35b,47158c9d-96e3-45b4-9582-d5efdf3fb660,bkash,cash_out,15522.6,2026-01-08T17:12:34,Rajshahi,ACC64948,False,
2e4e2c0c-c07d-4f85-a170-640c306074e4,47158c9d-96e3-45b4-9582-d5efdf3fb660,rocket,cash_out,6741.87,2026-02-20T15:15:22,Rajshahi,ACC51180,False,
